Title,URL,Severity
Frappe vulnerable to information disclosure leading to account takeover,https://github.com/advisories/GHSA-qrv3-jc3h-f3m6,High
Frappe has Possibility of Remote Code Execution due to improper validation,https://github.com/advisories/GHSA-v342-4xr9-x3q3,Moderate
Frappe has possibility of SQL injection due to improper validations,https://github.com/advisories/GHSA-3hj6-r5c9-q8f3,Moderate
InvokeAI Deserialization of Untrusted Data vulnerability,https://github.com/advisories/GHSA-mcrp-whpw-jp68,Critical
MLflow Cross-Site Request Forgery (CSRF) vulnerability,https://github.com/advisories/GHSA-969w-gqqr-g6j3,Moderate
MLflow has Weak Password Requirements,https://github.com/advisories/GHSA-4rj2-9gcx-5qhx,Low
LiteLLM Has an Improper Authorization Vulnerability,https://github.com/advisories/GHSA-fjcf-3j3r-78rp,High
D-Tale Command Injection vulnerability,https://github.com/advisories/GHSA-gjxm-x497-4h6h,Critical
Aim Uncontrolled Resource Consumption vulnerability,https://github.com/advisories/GHSA-j5qj-rg5j-j7c2,High
Aim Excessive Data Query Operations in a Large Data Table vulnerability,https://github.com/advisories/GHSA-fm93-g6xp-35xq,High
LiteLLM Has a Leakage of Langfuse API Keys,https://github.com/advisories/GHSA-879v-fggm-vxw2,High
SageMaker Workflow component allows possibility of MD5 hash collisions,https://github.com/advisories/GHSA-32g6-mg92-ghm2,Moderate
MLflow Uncontrolled Resource Consumption vulnerability,https://github.com/advisories/GHSA-49m6-vrr9-2cqm,Moderate
LiteLLM Reveals Portion of API Key via a Logging File,https://github.com/advisories/GHSA-g5pg-73fc-hjwq,High
Open WebUI Unauthenticated Multipart Boundary Denial of Service (DoS) Vulnerability,https://github.com/advisories/GHSA-5ccf-884p-4jjq,High
Kedro deserialization vulnerability,https://github.com/advisories/GHSA-747f-ww56-4q4h,Critical
ZenML unauthenticated DoS via Multipart Boundry,https://github.com/advisories/GHSA-6gmf-2369-c76c,High
BentoML Denial of Service (DoS) via Multipart Boundary,https://github.com/advisories/GHSA-hw8j-hw49-752c,High
Quivr unauthenticated Denial of Service (DoS) via Multipart Boundary,https://github.com/advisories/GHSA-m76r-xqqj-mqmv,High
vLLM deserialization vulnerability in vllm.distributed.GroupCoordinator.recv_object,https://github.com/advisories/GHSA-pgr7-mhp5-fgjp,Critical
vLLM allows Remote Code Execution by Pickle Deserialization via AsyncEngineRPCServer() RPC server entrypoints,https://github.com/advisories/GHSA-cj47-qj6g-x7r4,Critical
BentoML deserialization vulnerability,https://github.com/advisories/GHSA-9g44-gwvm-hc44,Critical
Gradio DOS in multipart boundry while uploading the file,https://github.com/advisories/GHSA-5cpq-9538-jm2j,High
LiteLLM Vulnerable to Denial of Service (DoS) via Crafted HTTP Request,https://github.com/advisories/GHSA-fh2c-86xm-pm2x,High
Composio Eval Injection Vulnerability,https://github.com/advisories/GHSA-5xg7-5662-8x7j,High
composio allows Server-Side Request Forgery (SSRF) in BROWSERTOOL,https://github.com/advisories/GHSA-38mg-wm59-g64x,Moderate
composio Server-Side Request Forgery (SSRF) vulnerability,https://github.com/advisories/GHSA-qvg9-vp87-h3hr,Moderate
MLflow has a Local File Read/Path Traversal in dbfs,https://github.com/advisories/GHSA-4rqf-8pfm-p36r,High
AgentScope Cross-Origin Resource Sharing (CORS) vulnerability,https://github.com/advisories/GHSA-75v5-6885-59f9,High
AgentScope path traversal vulnerability in save-workflow,https://github.com/advisories/GHSA-j9rw-qm5f-r8xm,Critical
H2O Vulnerable to Arbitrary File Overwrite,https://github.com/advisories/GHSA-g48v-3p35-88jr,High
AgentScope stored cross-site scripting (XSS) vulnerability,https://github.com/advisories/GHSA-6mf6-7j75-2m6f,Moderate
AgentScope arbitrary file download vulnerability in rpc_agent_client,https://github.com/advisories/GHSA-p6h7-hfj2-vmcf,High
AgentScope Path Traversal in /api/file,https://github.com/advisories/GHSA-f4hc-q562-cc5r,High
AgentScope path traversal vulnerability,https://github.com/advisories/GHSA-c4cc-w454-4634,Critical
AgentScope directory traversal vulnerability in /read-examples,https://github.com/advisories/GHSA-6v28-q95m-93qr,High
AgentScope Deserialization Vulnerability,https://github.com/advisories/GHSA-9w5h-67gf-xvv8,Critical
Aim  path traversal in LockManager.release_locks,https://github.com/advisories/GHSA-4qcx-jx49-6qrh,Critical
H2O Vulnerable to Denial of Service (DoS) via `HEAD` Request,https://github.com/advisories/GHSA-5c8j-g96x-cj78,High
Aim allows denial of service due to no timeouts for some tracking server endpoints,https://github.com/advisories/GHSA-6w7p-xrvp-p7xv,High
Aim Improper Access Control,https://github.com/advisories/GHSA-r229-5wgf-f28g,Moderate
PyTorch Lightning denial of service vulnerability,https://github.com/advisories/GHSA-98fp-7v67-4v3q,High
Open WebUI denial of service through endpoint for converting markdown,https://github.com/advisories/GHSA-5v9m-57mq-qc75,High
Prefect CORS (Cross-Origin Resource Sharing) misconfiguration,https://github.com/advisories/GHSA-4v9f-r55g-g6hc,High
Open WebUI lacks authentication for the `api/v1/utils/pdf` endpoint,https://github.com/advisories/GHSA-9vf8-xgwm-97r8,High
Open WebUI stored cross-site scripting (XSS) vulnerability,https://github.com/advisories/GHSA-gj27-76gq-5v3p,High
Gradio Vulnerable to Open Redirect,https://github.com/advisories/GHSA-7v2w-h4gh-w5cv,Moderate
Open WebUI allows Remote Code Execution via Arbitrary File Upload to /audio/api/v1/transcriptions,https://github.com/advisories/GHSA-ff5c-56m7-vc75,High
H2O Vulnerable to Denial of Service (DoS) via `/3/ImportFiles` Endpoint,https://github.com/advisories/GHSA-p2vc-m5fv-9w9m,High
Open WebUI Unauthenticated Multipart Boundary Denial of Service (DoS) Vulnerability in api/chat/file,https://github.com/advisories/GHSA-6wj5-5pgr-jwq8,High
Open WebUI Vulnerable to Cross-Site Request Forgery (CSRF),https://github.com/advisories/GHSA-p5vx-9hj8-cf4h,Moderate
H2O Vulnerable to Denial of Service (DoS) via Large GZIP Parsing,https://github.com/advisories/GHSA-6w62-3jvj-mfj6,High
Open WebUI has SSRF in /openai/models,https://github.com/advisories/GHSA-x757-hv69-jr45,High
Open WebUI Has Improper Access Control Leading to Arbitrary Prompt Read,https://github.com/advisories/GHSA-c7fq-p62p-wvpc,Moderate
Open WebUI Allows Viewing of Admin Details,https://github.com/advisories/GHSA-gv26-qw3h-8qvp,Moderate
